AÑO / MES / DÍA ;HORA ;TEMPERATURA (°C) ;PRECIPITACIÓN (mm/hora) ;HUMEDAD (%) ;DIRECCION DEL VIENTO (°) ;VELOCIDAD DEL VIENTO (m/s) 
25/01/2023;16:00;25.2;0.0;50.88;168.9;1.9
25/01/2023;17:00;23.6;18.7;61.07;204.9;2.1
25/01/2023;18:00;21.9;0.1;69.39;207;1.6
25/01/2023;19:00;21.5;0.1;72.06;212.5;1.1
25/01/2023;20:00;21.1;0.0;74.33;213;1.2
25/01/2023;21:00;21.2;0.0;72.6;220.2;0.7
25/01/2023;22:00;20.6;0.0;78.52;198.9;1.3
25/01/2023;23:00;20.0;0.0;82;184.5;0.8
26/01/2023;0:00;20.4;0.0;78.1;195.2;0.8
26/01/2023;1:00;19.6;0.0;82.8;195.6;0.6
26/01/2023;2:00;19.5;0.0;83.1;194.6;0.8
26/01/2023;3:00;19.3;0.0;81.8;184.4;0.6
26/01/2023;4:00;19.3;0.0;82.1;175.5;0.3
26/01/2023;5:00;19.3;0.0;80.7;25.73;0.0
26/01/2023;6:00;19.6;0.0;79.44;175.7;0.4
26/01/2023;7:00;20.3;0.0;75.39;144.1;0.2
26/01/2023;8:00;22.2;0.0;66.05;123.7;0.2
26/01/2023;9:00;24.1;0.0;58.32;191.2;0.7
26/01/2023;10:00;26.2;0.0;54.14;158.1;1.1
26/01/2023;11:00;25.5;0.0;52.73;187.8;2.3
26/01/2023;12:00;26.1;0.0;50.71;195.1;1.8
26/01/2023;13:00;26.6;0.0;47.48;185.2;2.1
26/01/2023;14:00;26.5;0.0;48.48;165.7;2.0
26/01/2023;15:00;25.6;0.0;52.2;181.5;2.3
26/01/2023;16:00;25.0;0.0;53.38;186.3;2.0
26/01/2023;17:00;24.7;0.0;55.26;195.3;1.9
26/01/2023;18:00;23.5;0.0;60.87;208.7;1.7
26/01/2023;19:00;22.0;0.0;67.68;206.8;1.5
26/01/2023;20:00;20.8;0.0;72.67;187.3;0.6
26/01/2023;21:00;20.7;0.0;73.68;207.8;0.5
26/01/2023;22:00;20.9;0.0;73.39;149.7;0.5
26/01/2023;23:00;21.0;0.0;74.44;168.9;0.6
27/01/2023;0:00;20.7;0.0;74.49;144.3;0.3
27/01/2023;1:00;20.7;0.0;75.58;191.3;0.9
27/01/2023;2:00;20.0;0.0;79.28;157.5;0.5
27/01/2023;3:00;19.8;0.0;80.3;159.8;0.2
27/01/2023;4:00;19.6;0.0;83.7;191.5;0.7
27/01/2023;5:00;18.7;0.0;86.2;133.2;0.3
27/01/2023;6:00;18.7;0.0;87.1;172;0.4
27/01/2023;7:00;19.0;0.0;85.6;183.2;0.7
27/01/2023;8:00;20.1;0.0;79.36;167;0.9
27/01/2023;9:00;22.4;0.0;66.64;232.4;0.9
27/01/2023;10:00;23.4;0.0;63.15;191.8;1.6
27/01/2023;11:00;24.5;0.0;59.6;186.8;1.8
27/01/2023;12:00;24.7;0.0;58.97;179.3;1.7
27/01/2023;13:00;24.9;0.0;55.67;174.7;1.9
27/01/2023;14:00;25.5;0.0;53.77;190.6;1.9
27/01/2023;15:00;24.9;0.0;55.5;171.3;1.6
27/01/2023;16:00;25.1;0.0;53.68;201.2;1.7
27/01/2023;17:00;23.9;0.0;56.86;201.5;1.9
27/01/2023;18:00;22.8;0.0;62.5;191.1;1.3
27/01/2023;19:00;21.3;0.0;72.69;208.9;1.4
27/01/2023;20:00;20.7;0.0;75.32;184.1;0.8
27/01/2023;21:00;20.6;0.0;76.09;184.2;0.6
27/01/2023;22:00;20.5;0.0;77.85;119.9;0.2
27/01/2023;23:00;20.2;0.0;79.74;181.4;0.6
28/01/2023;0:00;19.7;0.0;81.8;188.8;0.8
28/01/2023;1:00;19.4;0.0;82.7;170.5;0.7
28/01/2023;2:00;19.1;0.0;84.6;175.3;0.5
28/01/2023;3:00;19.1;0.0;83.8;0;0.0
28/01/2023;4:00;19.5;0.0;80.5;156.3;0.2
28/01/2023;5:00;19.3;0.0;81.6;115.7;0.2
28/01/2023;6:00;19.9;0.0;80.9;195.4;0.9
28/01/2023;7:00;19.7;0.0;80.7;103.3;0.2
28/01/2023;8:00;21.9;0.0;70.47;255;0.5
28/01/2023;9:00;23.0;0.0;67.68;188.5;1.3
28/01/2023;10:00;23.8;0.0;62.96;199.1;1.8
28/01/2023;11:00;24.8;0.0;57.01;183.5;1.7
28/01/2023;12:00;25.2;0.0;54.8;172.4;2.2
28/01/2023;13:00;27.0;0.0;50.62;203.9;1.7
28/01/2023;14:00;25.3;0.0;52.04;192.9;2.0
28/01/2023;15:00;23.3;0.0;60.89;191;1.7
28/01/2023;16:00;22.9;0.0;60.61;190;1.3
28/01/2023;17:00;22.8;0.0;62.6;201;1.3
28/01/2023;18:00;22.5;0.0;64.34;189.4;0.8
28/01/2023;19:00;22.8;0.0;58.76;212.3;0.7
28/01/2023;20:00;22.8;0.0;64.49;172.1;0.5
28/01/2023;21:00;22.4;0.0;67.39;199.4;0.6
28/01/2023;22:00;21.6;0.0;71.73;179.1;0.8
28/01/2023;23:00;21.5;0.0;69.98;187.9;0.6
29/01/2023;0:00;21.3;0.0;69.14;191;0.5
29/01/2023;1:00;20.7;0.0;74.68;182.2;0.6
29/01/2023;2:00;20.4;0.0;76.33;152.1;0.3
29/01/2023;3:00;20.5;0.0;76.43;163.1;0.5
29/01/2023;4:00;20.3;0.0;75.57;147.5;0.3
29/01/2023;5:00;20.3;0.0;74.96;135.7;0.5
29/01/2023;6:00;20.0;0.0;75.75;30.65;0.1
29/01/2023;7:00;20.2;0.0;74.14;9.82;0.1
29/01/2023;8:00;22.5;0.0;63.48;190.4;0.5
29/01/2023;9:00;24.1;0.0;57.7;190;1.1
29/01/2023;10:00;25.9;0.0;51.53;187.2;1.4
29/01/2023;11:00;26.8;0.0;50.66;183.5;1.8
29/01/2023;12:00;27.5;0.0;45.66;213.7;1.7
29/01/2023;13:00;27.2;0.0;47.46;200.4;2.0
29/01/2023;14:00;26.8;0.0;47.21;187.4;1.9
29/01/2023;15:00;26.0;0.0;50.44;192.2;1.7
29/01/2023;16:00;24.9;0.0;49.65;192.4;1.2
29/01/2023;17:00;24.3;0.0;53.67;180;1.7
29/01/2023;18:00;22.3;0.0;65.87;183.6;1.4
29/01/2023;19:00;21.2;0.0;70.48;208.6;1.0
29/01/2023;20:00;21.2;0.0;71.36;122.7;0.3
29/01/2023;21:00;21.4;0.0;70.19;168.6;0.7
29/01/2023;22:00;21.1;0.0;72.83;180.9;0.7
29/01/2023;23:00;20.7;0.0;73.64;127.7;0.2
30/01/2023;0:00;20.7;0.0;73.18;0;0.0
30/01/2023;1:00;20.7;0.0;71.98;0;0.0
30/01/2023;2:00;20.7;0.0;72.5;126;0.1
30/01/2023;3:00;20.8;0.0;73.01;180.6;0.4
30/01/2023;4:00;19.5;0.0;83.1;182.5;0.8
30/01/2023;5:00;18.8;0.0;84.2;180.5;0.8
30/01/2023;6:00;18.6;0.0;85;137.2;0.3
30/01/2023;7:00;19.2;0.0;81.9;48.57;0.0
30/01/2023;8:00;22.2;0.0;68.44;245;0.3
30/01/2023;9:00;24.8;0.0;55.67;196.5;1.1
30/01/2023;10:00;25.5;0.0;54.34;196.4;1.9
30/01/2023;11:00;26.2;0.0;45.69;187.8;1.8
30/01/2023;12:00;27.1;0.0;46.22;187.6;2.0
30/01/2023;13:00;26.2;0.0;47.79;198.3;2.3
30/01/2023;14:00;26.3;0.0;48.52;132;1.8
30/01/2023;15:00;25.5;0.2;51.2;184.6;2.0
30/01/2023;16:00;24.8;0.3;53.29;202.7;1.8
30/01/2023;17:00;24.5;0.1;52.54;203.6;1.7
30/01/2023;18:00;22.9;0.4;64.11;188.1;1.2
30/01/2023;19:00;21.4;0.3;72.96;186.1;1.2
30/01/2023;20:00;21.1;0.1;74.65;200.3;1.2
30/01/2023;21:00;20.8;0.1;76;159.4;0.5
30/01/2023;22:00;21.0;0.1;75.21;144.5;0.4
30/01/2023;23:00;20.9;0.0;76.52;31.91;0.0
31/01/2023;0:00;21.1;0.0;74.6;92.5;0.1
31/01/2023;1:00;21.0;0.0;74.35;9.63;0.0
31/01/2023;2:00;20.9;0.0;74.46;66.29;0.1
31/01/2023;3:00;21.0;0.0;72.56;30.43;0.1
31/01/2023;4:00;20.8;0.0;74.55;132.6;0.3
31/01/2023;5:00;20.5;0.0;79.33;172.1;0.3
31/01/2023;6:00;20.3;0.0;80.6;206.9;0.7
31/01/2023;7:00;19.6;0.0;83.1;203.9;0.8
31/01/2023;8:00;21.7;0.0;73.04;192.8;0.9
31/01/2023;9:00;22.9;0.0;67.55;196.2;1.4
31/01/2023;10:00;24.8;0.0;57.38;187.3;1.6
31/01/2023;11:00;25.7;0.0;54.11;199.2;1.8
31/01/2023;12:00;26.3;0.0;50.15;192.2;2.0
31/01/2023;13:00;27.2;0.0;47.06;199.4;1.6
31/01/2023;14:00;27.0;0.2;48.17;196.6;2.1
31/01/2023;15:00;25.8;0.5;50.98;204.7;2.2
31/01/2023;16:00;24.7;0.2;54.45;188.7;2.0
31/01/2023;17:00;24.5;0.2;56.3;208;1.4
31/01/2023;18:00;23.4;0.2;65.12;202.1;1.0
31/01/2023;19:00;22.6;0.3;68.18;190.9;0.9
31/01/2023;20:00;21.8;0.1;71.67;190.3;1.0
31/01/2023;21:00;21.3;0.1;73.41;191.9;0.7
31/01/2023;22:00;21.7;0.0;70.86;166.6;0.3
31/01/2023;23:00;21.8;0.0;70.33;87.6;0.1
